symbol,to_consider,could_process,Adj_Close,AS_30,AS_90,AS_180,AS_360,Hurst,ATR_20,MA_100,position_size,Volume,close_gt_ma100,ma50_gt_ma100,max_min,AS_30_vol,AS_90_vol,AS_180_vol,AS_360_vol,Q_30,Q_90,Q_180,Q_360,Mean_4Q,Mean_3Q,Mean_Q,Q_30_vol,Q_90_vol,Q_180_vol,Q_360_vol,Mean_4Q_vol,Mean_3Q_vol,Mean_Q_vol,Mean_Final_Q,Stock_Value,sp_check
ARVIND,True,True,72.0,1.75,4.18,0.81,-0.0,0.74,3.8,43.32,26.0,8678262.0,True,True,2.178517397881997,6509.73,1.44,0.0,0.01,0.74,0.86,0.7,0.47,0.69,0.68,0.685,0.74,0.86,0.7,0.47,0.69,0.68,0.685,0.685,1872.0,False
EMAMIREAL,True,False,54.15,-0.03,3.65,1.97,0.0,1.13,3.79,48.57,26.0,78829.0,True,True,2.2237654320987654,-0.11,0.37,0.14,0.0,0.33,0.8,0.88,0.47,0.62,0.71,0.665,0.33,0.8,0.88,0.47,0.62,0.71,0.665,0.665,1407.8999999999999,False
DIVISLAB,True,True,3719.4,-0.04,0.46,0.95,0.86,1.12,114.3,3472.21,1.0,561226.0,True,True,1.275364462633335,169.38,-0.03,-0.0,0.32,0.3,0.4,0.76,0.97,0.61,0.71,0.6599999999999999,0.3,0.4,0.76,0.97,0.61,0.71,0.6599999999999999,0.6599999999999999,3719.4,True
BERGEPAINT,True,True,770.35,-0.18,1.06,0.94,0.26,1.02,26.32,680.67,4.0,1497926.0,True,True,1.3616592493072464,10469.79,0.03,-0.01,-0.01,0.2,0.57,0.75,0.86,0.59,0.72,0.655,0.2,0.57,0.75,0.86,0.59,0.72,0.655,0.655,3081.4,True
BHAGERIA,True,True,167.8,0.03,1.16,0.56,0.18,0.94,6.94,145.9,14.0,21555.0,True,True,1.36406806489909,-0.08,4.61,-0.0,0.13,0.59,0.57,0.55,0.83,0.64,0.65,0.645,0.59,0.57,0.55,0.83,0.64,0.65,0.645,0.645,2349.2000000000003,False
ABSLBANETF,True,False,358.77,0.96,1.88,0.99,0.0,1.02,15.6,284.01,6.0,2363.0,True,True,1.6121606461745568,39.33,-0.03,-0.0,0.0,0.71,0.63,0.78,0.47,0.65,0.62,0.635,0.71,0.63,0.78,0.47,0.65,0.62,0.635,0.635,2152.62,False
DTIL,True,True,13.04,66.85,4.76,0.32,-0.0,1.2,1.42,9.18,70.0,647100.0,True,True,2.5674796287803394,0.1,3.77,0.16,0.07,0.97,0.88,0.4,0.47,0.68,0.58,0.63,0.97,0.88,0.4,0.47,0.68,0.58,0.63,0.63,912.8,False
REPL,False,True,36.89,-0.01,0.01,2.1,1.19,1.39,3.18,40.15,31.0,253300.0,False,True,2.187370261462872,-0.05,-0.03,0.55,1.16,0.39,0.11,0.9,0.98,0.59,0.66,0.625,0.39,0.11,0.9,0.98,0.59,0.66,0.625,0.625,1143.59,False
CANTABIL,True,True,373.65,-0.01,0.6,0.63,0.32,1.37,11.76,350.86,9.0,125961.0,True,True,1.295450992652806,-0.04,0.33,0.03,3.08,0.39,0.45,0.64,0.88,0.59,0.66,0.625,0.39,0.45,0.64,0.88,0.59,0.66,0.625,0.625,3362.85,False
BANARISUG,True,True,1574.0,0.59,0.69,0.62,0.02,0.98,55.42,1392.2,2.0,1565.0,True,True,1.2551923076923077,-0.02,5.56,-0.0,0.13,0.67,0.49,0.61,0.75,0.63,0.62,0.625,0.67,0.49,0.61,0.75,0.63,0.62,0.625,0.625,3148.0,False
